area_name,year,dacoity,robbery ,murder,speedy_trial,riot ,woman_child_Repression,kidnapping,police_assault,burglary,theft,other_cases,recovery_cases_arms_act,recovery_cases_explosive,recovery_cases_narcotics,recovery_cases_smuggling
barisal metropolitan,2015,2,11,15,5,0,110,4,8,33,50,371,17,0,557,2
sylhet metropolitan,2015,19,14,37,22,4,139,10,8,25,89,819,11,5,183,8
dhaka division,2015,151,164,1239,563,0,5042,204,118,472,1565,20501,365,68,12405,520
chittagong division,2015,107,133,688,151,28,3886,98,163,406,906,13618,498,59,8012,224
sylhet division,2015,26,26,252,70,3,943,33,43,76,326,5442,54,11,1575,211
khulna division,2015,41,112,439,151,2,2478,79,41,250,513,8972,330,119,3787,1217
barisal division,2015,31,47,175,58,1,1497,53,20,156,266,6767,26,22,1019,27
rajshahi division,2015,37,66,446,159,0,2339,70,40,72,441,9259,313,144,5797,2072
rangpur division,2015,17,50,328,44,0,2587,34,23,146,460,9898,53,10,1988,1355
railway range,2015,2,10,24,2,0,5,8,1,1,71,141,4,9,496,118
dhaka metropolitan,2016,23,131,165,217,1,1651,103,72,547,1516,5407,244,88,9627,108
chittagong metropolitan,2016,6,58,90,63,11,344,30,16,88,196,1634,160,6,3457,31
khulna metropolitan,2016,6,11,36,19,0,158,10,4,45,78,514,17,7,801,4
rajshahi metropolitan,2016,5,18,15,5,5,108,11,14,40,66,357,13,12,1114,173
barisal metropolitan,2016,6,7,16,8,0,105,2,4,41,45,444,15,0,655,1
sylhet metropolitan,2016,20,26,38,15,5,235,10,13,27,96,724,17,0,164,8
dhaka division,2016,118,127,881,162,1,3703,139,99,347,1114,13859,356,110,11366,234
mymensingh division,2016,4,15,221,97,0,825,16,29,57,256,4893,36,8,3099,118
chittagong division,2016,71,105,662,138,10,2612,106,99,367,821,12461,561,35,8998,161
sylhet division,2016,20,20,236,40,12,1116,18,46,69,310,5051,45,8,1723,237
khulna division,2016,47,80,370,88,7,1892,65,54,220,446,9315,374,109,4879,649
barisal division,2016,29,36,166,52,1,1538,38,22,155,187,6130,58,12,1679,12
rajshahi division,2016,30,49,383,115,0,1974,60,17,75,477,8304,345,82,9703,1555
rangpur division,2016,22,29,292,32,0,2025,27,29,133,453,8523,45,10,4425,1278
railway range,2016,1,10,20,1,0,160,4,3,2,49,131,5,0,518,111
dhaka metropolitan,2017,20,103,218,202,7,1779,85,132,554,1197,5315,157,108,13638,115
chittagong metropolitan,2017,2,71,70,80,0,350,7,21,92,267,1547,231,2,4260,44
khulna metropolitan,2017,6,9,25,19,0,248,4,6,35,50,443,25,4,1706,32
rajshahi metropolitan,2017,2,34,8,15,2,120,17,14,33,50,485,18,9,2021,189
barisal metropolitan,2017,1,8,16,4,0,89,7,4,32,46,388,11,1,921,4
sylhet metropolitan,2017,5,18,32,60,3,120,6,12,25,101,669,13,0,301,15
dhaka division,2017,99,132,828,131,0,3598,123,95,360,973,12787,290,43,19646,197
mymensingh division,2017,8,16,248,107,0,1071,26,18,74,355,5897,36,4,5398,178
chittagong division,2017,64,74,626,114,0,1889,77,112,360,786,11676,581,16,12555,190
sylhet division,2017,31,31,303,30,2,861,19,40,103,399,4638,49,7,2246,223
khulna division,2017,33,51,338,62,9,1960,45,26,152,420,8917,342,89,9764,813
barisal division,2017,22,36,169,62,0,1451,20,16,161,182,5763,59,8,3441,5
rajshahi division,2017,36,38,368,132,0,1763,43,28,79,470,7817,343,62,12237,1240
rangpur division,2017,7,29,281,25,0,1771,30,16,103,477,8203,50,8,10262,2218
railway range,2017,0,7,19,2,0,3,0,3,0,60,100,3,1,588,136
dhaka metropolitan,2018,17,83,216,216,17,1782,75,236,613,1290,5708,155,354,16215,173
chittagong metropolitan,2018,6,65,75,100,0,405,11,34,74,208,1446,365,136,4747,59
khulna metropolitan,2018,2,6,19,18,0,145,3,3,32,63,385,24,1,1858,45
rajshahi metropolitan,2018,0,27,22,14,3,177,17,12,45,64,597,35,19,2847,368
barisal metropolitan,2018,3,8,17,6,0,101,6,6,44,42,441,16,1,1088,0
sylhet metropolitan,2018,8,12,33,44,0,159,1,39,32,85,731,16,2,520,34
dhaka division,2018,71,96,854,105,0,3014,82,122,304,931,11830,292,65,22682,155
mymensingh division,2018,5,10,265,54,1,1056,20,23,66,301,5294,53,139,6329,100
chittagong division,2018,44,84,728,110,1,1915,93,151,325,701,11445,723,122,13338,145
sylhet division,2018,25,18,272,19,1,885,13,94,84,390,4648,62,19,2438,194
khulna division,2018,26,54,392,27,3,1530,29,14,190,403,7402,369,207,10076,531
barisal division,2018,20,24,166,55,0,1321,20,20,132,205,4975,54,56,4384,2
rajshahi division,2018,21,53,408,126,0,1786,46,27,95,392,6979,257,116,13764,1538
rangpur division,2018,13,13,307,19,0,1908,16,18,91,372,7474,72,57,10921,997
railway range,2018,0,4,27,3,0,4,1,5,0,65,108,2,0,611,159
gazipur  metropolitan,2018,0,4,26,4,0,46,3,5,7,32,183,18,15,528,1
rangpur metropolitan,2018,1,1,3,2,0,19,8,2,3,17,90,2,1,203,0
dhaka metropolitan,2019,1,10,19,10,0,118,9,6,49,127,411,6,3,1370,14
chittagong metropolitan,2019,0,3,9,5,0,22,0,5,6,15,125,38,0,449,1
khulna metropolitan,2019,1,0,4,1,0,8,0,0,6,4,16,2,0,272,3
rajshahi metropolitan,2019,0,4,1,1,1,11,0,0,4,6,52,3,0,283,35
barisal metropolitan,2019,0,0,0,0,0,14,1,0,4,6,49,1,0,91,0
sylhet metropolitan,2019,0,2,5,3,0,15,0,13,2,2,55,0,0,44,2
dhaka division,2019,7,11,75,10,0,216,12,13,28,70,889,18,3,1731,6
mymensingh division,2019,1,1,23,1,0,87,2,6,5,24,405,5,2,435,7
chittagong division,2019,4,11,74,4,0,147,6,10,25,51,891,54,1,1108,10
sylhet division,2019,4,5,20,4,0,67,1,8,7,33,412,1,3,139,21
khulna division,2019,4,4,37,0,0,99,2,2,7,36,544,13,3,814,20
barisal division,2019,2,3,16,2,0,86,3,2,16,23,378,1,0,363,0
rajshahi division,2019,5,8,29,6,0,99,8,2,5,40,469,25,15,1166,134
rangpur division,2019,1,2,33,0,0,116,0,0,8,38,625,4,0,551,94
railway range,2019,0,1,2,0,0,0,0,0,0,5,9,0,0,55,12
gazipur  metropolitan,2019,2,3,3,1,0,22,1,2,2,8,65,3,0,130,2
rangpur metropolitan,2019,0,0,1,0,0,12,1,0,0,6,33,0,0,68,0
